seed,mae,rmse,r2,mape_pct,n_train_geom,n_test_geom,n_test_seen_geom_samples,sample_overlap_frac,n_test_geom_seen,geometry_overlap_frac
0,8.62220132815851,12.336586841392037,0.9166790181450426,8.618578572516071,35,27,95,1.0,27,1.0
1,7.746343286974079,10.535912771505249,0.9361802392882834,7.658602538963217,35,31,95,1.0,31,1.0
2,9.45020426047551,14.156456771694677,0.8917939384577518,8.958156374020225,34,32,94,0.9894736842105263,31,0.96875
3,10.041669067143523,15.46244023891223,0.8447218418485967,9.149266088787373,35,30,95,1.0,30,1.0
4,9.739840173825668,15.212529783819038,0.8509026787701086,8.887140440769581,34,29,94,0.9894736842105263,28,0.9655172413793104
5,7.612322805544908,11.972413777691985,0.913369260640426,7.559401265410187,34,31,94,0.9894736842105263,30,0.967741935483871
6,8.18371206067666,12.002251398881763,0.909924753932955,7.912472886280335,34,32,94,0.9894736842105263,31,0.96875
7,7.956697361966435,12.573283553956061,0.9131353494614411,8.062529116723521,35,28,95,1.0,28,1.0
8,8.168657322820335,12.980808743976421,0.9098564362400856,7.5213651510878625,35,29,95,1.0,29,1.0
9,7.940587026526669,11.664014635624106,0.9264696084870849,7.847909411941183,34,32,94,0.9894736842105263,31,0.96875
10,7.9913366411667806,11.321951303384262,0.9304726055841737,8.315335663166929,34,30,94,0.9894736842105263,29,0.9666666666666667
11,8.554981626087802,13.040272682121316,0.9012127060879318,8.285267105747064,34,32,94,0.9894736842105263,31,0.96875
12,8.16161881748285,11.858688121445624,0.9408402430670186,7.74009138519257,35,30,95,1.0,30,1.0
13,9.086277463353005,13.467798051954354,0.9174149434446193,8.07814443628029,35,30,95,1.0,30,1.0
14,8.234421574078413,12.092474611028214,0.9151324498451631,8.403240930225877,35,28,95,1.0,28,1.0
15,7.6930062110242154,12.060428939623883,0.9263446367177154,7.6086184061327975,34,31,94,0.9894736842105263,30,0.967741935483871
16,8.162060922788768,12.33356005577564,0.9196022396429582,8.118320529439726,34,31,94,0.9894736842105263,30,0.967741935483871
17,8.793659385067052,13.246063802795382,0.8905191639581262,8.779830248265176,35,30,95,1.0,30,1.0
18,9.949515553963392,16.069190250129587,0.8891673689033449,8.80484410132483,35,31,95,1.0,31,1.0
19,9.076177416379245,13.400547481270744,0.9024414174502773,8.24599535100902,35,31,95,1.0,31,1.0
20,7.809974460772068,12.10366169863844,0.9388226876521143,7.069773260542423,33,32,93,0.9789473684210527,30,0.9375
21,7.696442562693846,11.210984272135295,0.9379446476422078,7.5868407597709435,35,28,95,1.0,28,1.0
22,7.354252656797117,12.395321363387206,0.9090213151407677,7.370356299420348,33,31,93,0.9789473684210527,29,0.9354838709677419
23,9.185627812135543,14.350093977742869,0.8291346825002921,9.14581930441662,34,32,94,0.9894736842105263,31,0.96875
24,10.299570168260512,14.544300356862507,0.901264114937234,9.67237116062165,34,30,94,0.9894736842105263,29,0.9666666666666667
25,7.1577429566639745,10.209039845700019,0.9272615634811507,7.651344144310261,35,31,95,1.0,31,1.0
26,7.62307893774663,12.010515810975127,0.8779793006793577,7.645761180020096,34,30,94,0.9894736842105263,29,0.9666666666666667
27,7.982934805619765,12.107270930221988,0.9139293930346033,8.246519093049166,34,33,94,0.9894736842105263,32,0.9696969696969697
28,9.287680687626303,14.1002095788611,0.9084636791728263,8.367079351837582,34,30,94,0.9894736842105263,29,0.9666666666666667
29,9.369029580335077,14.014766643803222,0.8832657489099286,9.475022283855793,34,31,94,0.9894736842105263,30,0.967741935483871
30,8.610956536513182,12.818674483093146,0.9020259721751706,8.754826878745249,35,30,95,1.0,30,1.0
