model,protocol,mae,rmse,r2,mape_pct,n_train,n_test,seed
RF,R,9.185826252744038,13.404158966078606,0.9016343473192008,9.059889540454423,379,95,0
RF,R,7.590613239930718,10.598838720678573,0.9354156331863968,7.761517944954003,379,95,1
RF,R,9.260993402401958,14.653838573063545,0.8840568055527211,9.018437867465732,379,95,2
RF,R,10.135818262223003,15.616605886688081,0.8416100567566984,9.401222069749062,379,95,3
RF,R,9.538956366242447,14.63577551438533,0.861993851117925,9.15485147506393,379,95,4
RF,R,7.701972398500371,11.720405861202929,0.9169778670569562,8.237624718301879,379,95,5
RF,R,7.89211410649833,11.583606682146145,0.9160989058968055,7.719312840887066,379,95,6
RF,R,8.869928745514384,13.633809112714529,0.8978637107630421,8.97122268447157,379,95,7
RF,R,7.736520044372981,11.910880424681658,0.9241039889758731,7.743702821004128,379,95,8
RF,R,9.066317366012955,12.902376447441693,0.9100274178693663,8.933281864725695,379,95,9
RF,R,10.165736013514772,14.433319102752277,0.8870084891293603,10.353936565184647,379,95,10
RF,R,9.745039165323604,13.867089024798599,0.8882883798458593,10.195955504664163,379,95,11
RF,R,9.154415895369752,13.153850672351423,0.9272121484610982,8.897240766002836,379,95,12
RF,R,9.273082993036773,13.289901815115174,0.9195822673374265,8.594032933623948,379,95,13
RF,R,9.155671891514304,12.914165119923165,0.903206996295442,9.62779285349391,379,95,14
RF,R,9.255374579757735,13.422587363120794,0.9087671280787251,9.459917770321649,379,95,15
RF,R,7.867283321355731,11.567042316381583,0.9292849758855526,8.32075322742177,379,95,16
RF,R,9.103715587947892,13.018543693391617,0.8942478440408009,9.583889862762312,379,95,17
RF,R,10.703899267209112,15.840599432849313,0.8922982197632248,10.147633922111886,379,95,18
RF,R,9.325477077517869,13.229042895022028,0.9049226108779774,8.757983356860992,379,95,19
RF,R,7.903129883759593,11.766854391222564,0.942180064990578,7.466177211879593,379,95,20
RF,R,8.317781049252988,11.58040803796901,0.9337875765928851,8.450244938731093,379,95,21
RF,R,8.125473825824418,12.902530618128022,0.9014233921164816,8.695208537395901,379,95,22
RF,R,10.203016625510772,15.359223654024618,0.8042584800596535,10.476592009314563,379,95,23
RF,R,10.934423770383617,15.305334474527575,0.8906610235732958,11.053446371781922,379,95,24
RF,R,7.0624321890445545,10.7831697039769,0.9188502765043498,7.540849548634195,379,95,25
RF,R,8.181775140883882,12.110823705115138,0.8759326358544002,8.428888052153646,379,95,26
RF,R,8.152062209707461,12.673836632912963,0.9056854812239847,8.79483668386188,379,95,27
RF,R,9.5929298993486,14.213873590935927,0.9069819535129263,8.97942346480663,379,95,28
RF,R,9.785511354398635,13.780030952991918,0.8871434042366086,10.254420655076192,379,95,29
RF,R,8.13852196047623,12.275536021335766,0.9101525709632707,8.746061680768833,379,95,30
RF,R,9.83401590084673,14.227756802941279,0.8881733233444087,10.324895203926756,379,95,31
RF,R,7.288900842472482,10.996019040310895,0.939800785620195,7.7041622084105175,379,95,32
RF,R,6.851938872752561,9.614323279716563,0.9503362388273205,8.018386451479174,379,95,33
RF,R,8.273421983391554,13.254230120314814,0.8685421885160227,8.456591377544708,379,95,34
RF,R,10.374110422582598,15.273110492991,0.8518517369101256,10.069788174656761,379,95,35
RF,R,8.724186480447507,12.4078685371939,0.9072642780110767,8.78016921074182,379,95,36
RF,R,8.77801683537978,12.020063072172684,0.9130874422828947,9.113905131953828,379,95,37
RF,R,7.343794355942179,11.919261242748432,0.9066165663303698,7.77725404255571,379,95,38
RF,R,8.115454504259441,11.24084117807099,0.932996643504032,8.578307821124266,379,95,39
RF,R,9.35329571538006,12.724786753945047,0.922121660580772,9.347800853658713,379,95,40
RF,R,7.8320169257409695,12.304883471037325,0.9178835350202903,8.526772225901652,379,95,41
RF,R,7.915318098959585,11.925988751049907,0.9347184869959755,7.818625432386393,379,95,42
RF,R,7.595468801241231,10.45356201916248,0.9346482351036896,8.119748923132006,379,95,43
RF,R,8.903265961173132,13.301338106883158,0.882119710295676,8.990795239035728,379,95,44
RF,R,8.739579958678297,12.87191960770071,0.8884044098293914,8.924524661463654,379,95,45
RF,R,7.974005826327626,10.808229913467345,0.9317532023044723,8.52411732953209,379,95,46
RF,R,8.135053490634878,11.833707321363578,0.9256182183772292,8.705950860573225,379,95,47
RF,R,8.441646673867501,12.086091433136588,0.895976398503543,8.488446876969999,379,95,48
RF,R,8.125157315847172,11.47158288752079,0.9281065672742713,8.940980840004075,379,95,49
RF,R,9.188488490268957,13.254206530367979,0.9095895547151738,9.087733465362744,379,95,50
RF,R,10.70015803751443,15.489682008433235,0.8468774098048408,10.96406017601218,379,95,51
RF,R,8.442975103700046,12.974215097724871,0.918606543137563,8.110568668399361,379,95,52
RF,R,7.5159741903120425,10.96883457489757,0.9326934676004468,8.194760546262016,379,95,53
RF,R,7.713318379124023,11.095118469685548,0.9257233944463292,8.415609735267443,379,95,54
RF,R,9.455170323789146,13.689246040686532,0.893699304443207,8.945789047305608,379,95,55
RF,R,7.954568698770225,10.62902936514689,0.9386689900727304,7.999135012540027,379,95,56
RF,R,9.020021029080793,13.859167879253361,0.9008109300110742,8.812966637054148,379,95,57
RF,R,9.322869792262619,14.074101044685442,0.8751519215146774,9.44197020311741,379,95,58
RF,R,8.537308815785238,12.33026545999158,0.930791652515594,8.593807658408148,379,95,59
RF,R,8.320771069672363,12.071835364522022,0.9165653491878878,8.622538325261326,379,95,60
RF,R,8.69887259195547,12.587000624741107,0.901923245686785,9.741036302168775,379,95,61
RF,R,9.973142653307383,13.467370004342733,0.8902166980599489,10.063851070495563,379,95,62
RF,R,9.04963601858977,13.12586680939207,0.918408509041509,8.926786389102299,379,95,63
RF,R,8.788438345644714,13.413611662714526,0.8892714035593364,8.761127816525558,379,95,64
RF,R,9.726144536080039,12.895888451398779,0.8967270672674977,10.144711676076774,379,95,65
RF,R,8.498782264408028,12.25049622514969,0.923996425375064,8.622457582243612,379,95,66
RF,R,6.444941932980172,9.23363588266248,0.9456955624691871,7.386486948477744,379,95,67
RF,R,8.289162340898926,11.319360822897035,0.9169465406215523,9.437812045826671,379,95,68
RF,R,9.942456521566301,13.485112664089932,0.9348402541161892,9.505259100584697,379,95,69
RF,R,8.441104030249157,12.9366946641471,0.9108989128102996,8.928239278020847,379,95,70
RF,R,9.452829661175437,13.829681348251265,0.8889973040631826,9.01302781625568,379,95,71
RF,R,9.06407900642673,12.560749074771577,0.9089446111017282,8.701981843571833,379,95,72
RF,R,8.050754301016976,11.06009750212871,0.9380384819832128,8.943019859160652,379,95,73
RF,R,8.749203046316847,12.395722286628438,0.8678927770763106,9.279426564859046,379,95,74
RF,R,7.870870038388878,11.017856221827822,0.9060373399275452,8.170107269458736,379,95,75
RF,R,10.758203310115839,16.381789487803687,0.8936901884857037,9.435914839787678,379,95,76
RF,R,7.739052089404609,11.238537832112272,0.9299635958987486,8.156321200116158,379,95,77
RF,R,8.173876369194875,11.974468901234655,0.9299572776793698,8.426914967179046,379,95,78
RF,R,8.518436682146218,12.573212087115902,0.8974804752043279,8.906906046806123,379,95,79
RF,R,10.072639873976918,15.409211394243886,0.8987981847797453,9.257689647186567,379,95,80
RF,R,8.742770663875703,13.179589628049046,0.8900125937299506,8.982973053775451,379,95,81
RF,R,9.088214408255675,13.22768781901417,0.8884273955700996,9.181287704108282,379,95,82
RF,R,7.732673074325053,10.632760962768415,0.9264426895327827,8.49314814271203,379,95,83
RF,R,10.192163434309899,14.68894670322618,0.8365104650907468,10.047412669030289,379,95,84
RF,R,7.950690496242683,10.91740369857565,0.9269428246505914,8.18778791548573,379,95,85
RF,R,7.53114832896553,10.357006486195441,0.9457215006495625,8.149351204202542,379,95,86
RF,R,9.140390752134925,12.437813493501173,0.9309548224218087,9.281932429543861,379,95,87
RF,R,9.47255521335797,13.223151668819545,0.9042522585033096,9.053092719425281,379,95,88
RF,R,8.986431500087683,12.824350310721938,0.8995531446568615,9.284522338023706,379,95,89
RF,R,7.411762072592704,11.468306617783481,0.893469376089248,8.385777988791393,379,95,90
RF,R,8.923453292515648,13.041183159986275,0.8998156904194117,9.162590570357573,379,95,91
RF,R,8.321787328240756,12.28780598689404,0.895552570384793,8.7930725790411,379,95,92
RF,R,9.873927401415932,14.472370878874926,0.8953630918596268,9.298836171997928,379,95,93
RF,R,8.569133920446772,12.461997677190933,0.9114489809751802,8.392737191465624,379,95,94
RF,R,8.69974730363407,12.453199009864957,0.9128703422355516,8.846228491363636,379,95,95
RF,R,8.728280289314062,12.46665652028525,0.9128811921286997,9.310680767066875,379,95,96
RF,R,9.680377507501001,14.585897591997064,0.9009120331853842,9.433179130415951,379,95,97
RF,R,7.917116599996579,11.91546941240642,0.9149957376348673,8.440378413323565,379,95,98
RF,R,8.399037901878987,12.51402935754948,0.9219697413937086,8.543031624463659,379,95,99
RF,G,10.692670537311916,15.061933281074763,0.9023364585329777,10.75557952246793,379,95,0
RF,G,7.128551918387329,10.869943042797141,0.8596201861782141,9.249490459534035,379,95,1
RF,G,7.212529181027077,9.398303869066734,0.893946176666817,10.042359053318197,379,95,2
RF,G,9.195695799014143,13.379319830175122,0.9296311984010175,9.473290815307674,379,95,3
RF,G,12.406468146839616,17.48461911290252,0.8712111950556685,11.857523209972106,379,95,4
RF,G,8.807020572097473,11.81475554066412,0.9175917012712,9.624756606776701,379,95,5
RF,G,10.988398394439901,15.381720805655899,0.8957504208842026,11.009619118473307,379,95,6
RF,G,9.960580154866397,14.2762056372963,0.905563228765741,9.760371342581987,379,95,7
RF,G,14.639796683254213,19.486036073544934,0.8352040259190319,13.606764108647093,379,95,8
RF,G,10.068028729208816,16.411982756193712,0.883602206287942,9.023173441698756,379,95,9
RF,G,10.973548469698803,14.877752144521882,0.8659091849496388,11.95530338398783,379,95,10
RF,G,9.382339079466542,14.011328107852275,0.9058078312440446,9.131438008426239,379,95,11
RF,G,9.987818681647315,14.921199846366367,0.8896575834393078,9.432965782186427,379,95,12
RF,G,12.506081918426618,17.53515562195986,0.8533171266251135,11.66997370935723,379,95,13
RF,G,9.489884069542962,14.38567499380951,0.911890712908581,8.133119729065402,379,95,14
RF,G,9.061081029574591,14.597182230719993,0.9077053264241618,8.748675401212257,379,95,15
RF,G,8.8620730615783,13.718762674619022,0.9144284604869432,9.12552061089939,379,95,16
RF,G,8.934692409603652,12.951331597266394,0.9187454229373503,9.350254591401987,379,95,17
RF,G,8.501024837466211,12.700183019878315,0.9105341732592395,9.916142251882265,379,95,18
RF,G,11.494639835473519,16.11228415822368,0.8731771893726247,11.492697049567518,379,95,19
RF,G,8.87952395973949,13.780498150156141,0.8949835120602739,9.044233837119936,379,95,20
RF,G,11.829547181757473,16.51138431405707,0.8922381231744387,10.836047408433169,379,95,21
RF,G,11.622549317556391,17.3109811280276,0.8799836330649314,10.641718552694423,379,95,22
RF,G,8.43017996783067,11.371447806799099,0.8809674145505553,11.098190494159674,379,95,23
RF,G,9.6412353977291,13.797192191254936,0.8863855213474694,10.488293785864197,379,95,24
RF,G,9.52887859315089,14.393436083419417,0.9068689142196198,8.643409822140415,379,95,25
RF,G,10.390140316492115,14.92057970418483,0.8887356663148868,9.905636135799742,379,95,26
RF,G,13.384735308637104,20.177214191879994,0.8175103916543249,10.426656200729473,379,95,27
RF,G,12.318181756100918,17.18734467908676,0.8614421658004024,11.363269821123469,379,95,28
RF,G,12.261723883681693,17.958775659182745,0.8342011309779422,11.324306839625851,379,95,29
RF,G,11.22884286007063,15.868177337578352,0.868774301725022,11.220477459561971,379,95,30
RF,G,9.23113196896499,13.331807808533169,0.9160209368671324,9.844941671785994,379,95,31
RF,G,9.89562629592642,14.256885759001598,0.8768532484711733,10.174694994907812,379,95,32
RF,G,12.361266010052766,15.613354119037389,0.8488989061041373,13.416108893063264,379,95,33
RF,G,13.47589914072163,19.096171656155423,0.8373924572886644,12.901066512205178,379,95,34
RF,G,10.526541939545028,14.973780829456635,0.8952567083419093,9.540919267231455,379,95,35
RF,G,12.675854244557453,17.164793071528578,0.8682310878929641,11.030992955203347,379,95,36
RF,G,12.227160301166956,16.724422314346967,0.8754500380381005,10.84003528081506,379,95,37
RF,G,12.965490567221554,17.174421810300824,0.8752499806586931,12.14382324914765,379,95,38
RF,G,12.41442775235094,16.5130877686839,0.8585856064957815,11.86316811827477,379,95,39
RF,G,15.048872121841715,19.939893928271143,0.8153288999152122,12.270593528720386,379,95,40
RF,G,13.691387439523828,19.212960944885555,0.8464623704870862,11.395916110637835,379,95,41
RF,G,11.280697669703503,15.458978978179866,0.8369883609752717,10.861281774005251,379,95,42
RF,G,12.190956912125479,16.47848538906584,0.8163111749838392,11.795192850933084,379,95,43
RF,G,7.917136436627192,12.5243792036057,0.9116981748377537,8.164433035806724,379,95,44
RF,G,10.912403531371757,16.584754699713066,0.8515708209926821,10.326149029726867,379,95,45
RF,G,12.449835019577465,16.151753356683454,0.8506877521716381,12.12499386233091,379,95,46
RF,G,10.879184866133203,16.404811689311966,0.8430724195297677,9.498630724487953,379,95,47
RF,G,9.670815394419536,12.728533789590116,0.9101030276124523,9.154354533407204,379,95,48
RF,G,11.008759173222572,15.92774762364072,0.886637566757334,10.242887518159739,379,95,49
RF,G,11.300738170220118,16.306592047469426,0.8580121517301468,11.636549758461621,379,95,50
RF,G,10.746637403481635,15.5045543205278,0.8898941965664274,9.75250981873474,379,95,51
RF,G,9.615367466395421,13.855834292474745,0.8922875479200626,9.519268360497213,379,95,52
RF,G,10.767248839076917,14.9063773060836,0.8383219863505758,10.627631422876224,379,95,53
RF,G,11.170048194494361,15.156172005673888,0.846255976995052,10.840233767850242,379,95,54
RF,G,12.407774116674243,17.44044250863709,0.8368076279284997,11.188660349823722,379,95,55
RF,G,14.895478195610416,20.381678478199834,0.775107889322311,12.995134801508032,379,95,56
RF,G,11.259252248549924,15.061540264221641,0.8510678749042552,11.042812506664873,379,95,57
RF,G,10.392779803817337,14.748072492008946,0.8772504149147698,10.039726269621003,379,95,58
RF,G,10.658611175232403,16.27066631495661,0.8818384813364356,9.000810843424569,379,95,59
RF,G,11.520016744557722,16.40860061682346,0.8750517035464752,10.173066580813375,379,95,60
RF,G,11.867619336913314,16.456321363378656,0.8665470357050074,10.301081387233511,379,95,61
RF,G,14.124629261127348,18.8009858860537,0.7898484057700104,14.017832765067256,379,95,62
RF,G,14.221437177978393,18.68401580710125,0.7962382595757119,12.80946918242919,379,95,63
RF,G,12.064951474367485,16.256996967884152,0.8693269180869538,11.08844304058907,379,95,64
RF,G,10.578372827401148,15.215240856309514,0.8669105112737882,10.617463290816758,379,95,65
RF,G,7.863133994705602,10.955968905707792,0.9145468153049765,8.724127247432763,379,95,66
RF,G,8.74314719397991,12.357356535606055,0.917133068389367,8.850970033895548,379,95,67
RF,G,9.41431534880791,13.736547270980282,0.8708002631974061,10.14470614385823,379,95,68
RF,G,10.616249297185282,14.466020363192685,0.8983606547679726,11.052741026571775,379,95,69
RF,G,11.679838137259702,16.842274038096058,0.8574463632236144,10.79028052004186,379,95,70
RF,G,11.92858888587792,14.997781347446027,0.8496763979702016,14.825714562693602,379,95,71
RF,G,12.596433185218755,17.633215734471804,0.8472030941161963,11.455398909841032,379,95,72
RF,G,15.93523392126162,20.196064140761454,0.8247194364094659,14.75358283985935,379,95,73
RF,G,13.280596821651056,16.932666768902795,0.8338293379467032,14.983439033026086,379,95,74
RF,G,13.98204277645664,19.202539059696036,0.8331718951073751,13.918406801611502,379,95,75
RF,G,13.120460317842605,16.84122742851823,0.8749355069664525,12.48731253752793,379,95,76
RF,G,7.833034881594693,11.879089461918332,0.8894090289984743,8.470223362422148,379,95,77
RF,G,10.338394726202669,16.10707726192242,0.8423352105331011,9.32735432956216,379,95,78
RF,G,11.634397854275846,16.669973955702797,0.8090481659760062,11.485130868148461,379,95,79
RF,G,9.13959308563845,12.675692239903235,0.9087134854257124,8.28029562302255,379,95,80
RF,G,12.798360301428705,18.376122135583362,0.8145453020649679,11.174821247499898,379,95,81
RF,G,11.028673680996352,15.232356470794029,0.8451700871192852,10.520933634743836,379,95,82
RF,G,8.332094200051662,12.648742514386871,0.8376156553826609,10.011170898202613,379,95,83
RF,G,8.376524048649921,12.83460600808459,0.9073591528518506,7.375579011337001,379,95,84
