protocol,fold,mAP50,mAP50_95,class_0_AP50,class_1_AP50
F,0,0.8676792160336386,0.48788148786220364,0.7574175647035442,0.977940867363733
F,1,0.8556812763853043,0.4858255810507751,0.7332739702799588,0.97808858249065
F,2,0.8597908367020178,0.49296978390747825,0.7458049803204746,0.9737766930835611
F,3,0.8651214492588355,0.4855672054693402,0.7570468365967166,0.9731960619209544
F,4,0.8590199607166371,0.482786194130666,0.7410126175372472,0.9770273038960269
V,0,0.8593623212575203,0.4568811428178971,0.7543220793149498,0.9644025632000908
V,1,0.8467276923539058,0.45996615048887635,0.7223819778667866,0.971073406841025
V,2,0.8620244140086392,0.4779207800363935,0.7386378638911197,0.9854109641261586
V,3,0.7981553845722933,0.5223465648413703,0.6203709279150094,0.9759398412295772
V,4,0.8490221968100469,0.539839972976405,0.727662532817691,0.9703818608024026
